msrp,invoice,disp,cyl,hp,weight,wheelbase,length,width,sports,suv,wagon,minivan,pickup,AWD,RWD,coupe,sedan,mpgclass,cmpg,hmpg
25193,23285,1.8,4,142,2387,89,156,66,1,0,0,0,0,0,1,1,0,2,23,28
23495,21551,3.5,6,200,3315,106,188,70,0,0,0,0,0,0,0,0,1,2,23,32
22388,20701,1.8,4,142,2387,89,156,66,1,0,0,0,0,0,1,1,0,2,23,28
17640,16444,2.5,4,165,2761,100,178,67,0,0,0,0,0,0,0,0,1,2,23,28
16040,14910,2.4,4,138,3281,106,186,72,0,0,0,0,0,0,0,0,1,2,23,30
26990,24647,2.4,4,200,3230,105,183,69,0,0,0,0,0,0,0,0,1,2,22,29
26135,24641,1.9,4,170,2822,101,180,68,0,0,1,0,0,0,0,0,0,2,22,29
26060,24249,1.8,4,189,3250,107,178,68,0,0,0,0,0,0,1,1,0,2,22,30
25940,23508,1.8,4,170,3252,104,179,70,0,0,0,0,0,0,0,0,1,2,22,31
25215,23451,2.4,4,150,3357,106,194,64,0,0,0,0,0,0,0,1,0,2,22,30
25135,23701,1.9,4,170,2767,101,178,68,0,0,0,0,0,0,0,0,1,2,22,29
24955,22801,1.8,4,170,3338,106,184,69,0,0,1,0,0,0,0,0,0,2,22,31
23955,21898,1.8,4,170,3241,106,185,69,0,0,0,0,0,0,0,0,1,2,22,31
22225,20394,3.5,6,200,3458,112,188,70,0,0,1,0,0,0,0,0,0,2,22,30
22000,20573,2.4,4,150,3105,103,169,67,0,0,0,0,0,0,0,0,1,2,22,29
21087,19742,2,4,130,3091,103,173,72,0,1,0,0,0,1,0,0,0,2,22,25
20370,18639,3.5,6,200,3297,106,188,70,0,0,0,0,0,0,0,0,1,2,22,30
20290,18553,2.4,4,161,3119,98,167,68,0,1,0,0,0,1,0,0,0,2,22,27
19945,18399,2.5,4,165,2965,99,174,69,0,0,0,0,0,1,0,0,1,2,22,28
19090,17805,2.4,4,150,3173,108,191,71,0,0,0,0,0,0,0,0,1,2,22,30
17985,16919,2.4,4,150,3101,103,169,67,0,0,0,0,0,0,0,0,1,2,22,29
15568,15378,2,4,119,2756,102,177,68,0,0,0,0,0,0,0,0,1,2,22,30
12800,11879,2.4,4,142,2750,103,184,67,0,0,0,0,1,0,1,0,0,2,22,27
43175,40883,2,4,210,3700,105,182,69,0,0,0,0,0,0,0,1,0,2,21,30
41045,37575,3,6,225,2998,98,161,70,1,0,0,0,0,0,1,1,0,2,21,29
40670,38520,2,4,210,3480,105,182,69,0,0,0,0,0,0,0,1,0,2,21,29
40590,36739,3.2,6,250,3351,96,159,73,1,0,0,0,0,1,0,1,0,2,21,29
40565,38203,2.4,5,197,3450,105,186,72,0,0,0,0,0,0,0,1,0,2,21,28
40320,37548,2.3,4,192,3055,95,158,68,1,0,0,0,0,0,1,1,0,2,21,29
39465,37721,2.3,4,250,3470,106,190,71,0,0,0,0,0,0,0,0,1,2,21,29
35105,33011,2.3,4,220,3470,106,190,71,0,0,0,0,0,0,0,0,1,2,21,29
30950,28613,2.7,6,200,3448,106,194,69,0,0,0,0,0,0,0,1,0,2,21,28
30920,27271,3,6,210,3439,107,192,72,0,0,0,0,0,0,0,0,1,2,21,29
26992,25218,3,6,210,3296,101,177,69,1,0,0,0,0,0,0,1,0,2,21,28
26960,24304,3,6,240,3294,105,188,71,0,0,0,0,0,0,0,1,0,2,21,30
26560,23693,3,6,210,3417,107,192,72,0,0,0,0,0,0,0,0,1,2,21,29
25955,24172,2.4,4,220,3217,103,169,67,0,0,0,0,0,0,0,0,1,2,21,27
25920,23125,3,6,210,3362,107,189,71,0,0,0,0,0,0,0,0,1,2,21,29
25645,23336,2.5,4,165,3395,104,184,69,0,0,0,0,0,1,0,0,1,2,21,28
25092,23456,3,6,210,3241,101,177,69,1,0,0,0,0,0,0,1,0,2,21,28
24520,22304,2.5,4,165,3485,104,193,70,0,0,0,0,1,1,0,0,0,2,21,28
24130,22452,2.7,6,200,3479,113,208,74,0,0,0,0,0,0,0,0,1,2,21,29
23895,21773,2.5,4,165,3430,104,187,69,0,0,1,0,0,1,0,0,0,2,21,28
23785,21686,2.8,6,200,3179,99,172,68,0,0,0,0,0,0,0,0,1,2,21,30
23760,21428,3,6,240,3349,108,190,72,0,0,0,0,0,0,0,0,1,2,21,30
23290,21580,3.5,6,245,3197,110,192,70,0,0,0,0,0,0,0,0,1,2,21,26
22775,20325,3,6,210,3296,107,189,71,0,0,0,0,0,0,0,0,1,2,21,29
22035,20502,2.7,6,200,3469,113,204,75,0,0,0,0,0,0,0,0,1,2,21,29
21900,20095,3.4,6,180,3465,111,200,73,0,0,0,0,0,0,0,0,1,2,21,32
21840,20284,2.7,6,200,3222,108,191,71,0,0,0,0,0,0,0,0,1,2,21,28
21825,20026,3.4,6,180,3340,111,198,73,0,0,0,0,0,0,0,1,0,2,21,32
21445,19646,2.5,4,165,3090,99,175,68,0,0,1,0,0,1,0,0,0,2,21,28
20585,19238,2.2,4,143,3381,107,181,72,0,1,0,0,0,1,0,0,0,2,21,26
20445,18713,2.5,4,165,3285,104,184,69,0,0,0,0,0,1,0,0,1,2,21,28
20220,18821,2.4,4,150,3175,108,191,71,0,0,0,0,0,0,0,0,1,2,21,28
19860,18419,2.4,4,160,3258,103,179,70,0,1,0,0,0,1,0,0,0,2,21,25
19240,18030,2.5,4,175,3039,110,192,70,0,0,0,0,0,0,0,0,1,2,21,26
19135,17878,2,4,170,2750,103,168,67,0,0,0,0,0,0,0,1,0,2,21,28
18892,17569,2.4,4,160,3240,103,179,69,0,1,0,0,0,0,0,0,0,2,21,27
18820,17512,2.4,4,150,3182,108,191,71,0,0,0,0,0,0,0,0,1,2,21,28
18690,17334,2.4,4,160,3468,101,167,72,0,1,0,0,0,1,0,0,0,2,21,24
45707,41966,3.2,6,215,3770,107,183,69,0,0,0,0,0,0,1,1,0,1,20,26
44995,41170,3,6,225,3472,114,191,73,0,0,0,0,0,0,1,0,1,1,20,30
43365,37886,2.7,6,228,2811,95,170,70,1,0,0,0,0,0,1,1,0,1,20,29
42565,40083,2.3,5,242,3450,105,186,72,0,0,0,0,0,0,0,1,0,1,20,26
42490,38325,3,6,220,3814,105,180,70,0,0,0,0,0,0,0,1,0,1,20,27
37885,35688,2.5,5,194,3691,110,190,72,0,0,0,0,0,1,0,0,1,1,20,27
37730,35542,2.9,6,208,3576,110,190,72,0,0,0,0,0,0,0,0,1,1,20,28
37630,35046,3.2,6,215,3450,107,178,68,0,0,0,0,0,0,1,0,1,1,20,26
37390,33891,1.8,4,225,2921,96,159,73,1,0,0,0,0,1,0,1,0,1,20,28
37245,34115,3,6,225,3483,107,176,69,0,0,0,0,0,1,0,0,1,1,20,29
36995,33890,3,6,225,3285,107,176,69,0,0,0,0,0,0,1,1,0,1,20,30
36895,33929,3,6,232,3681,115,194,73,0,0,0,0,0,0,1,0,1,1,20,26
36640,33129,3,6,220,3561,109,192,71,0,0,0,0,0,0,0,0,1,1,20,27
35940,32512,1.8,4,180,3131,95,159,73,1,0,0,0,0,0,0,1,0,1,20,28
35545,32244,3.8,6,205,3778,114,207,75,0,0,0,0,0,0,0,0,1,1,20,29
35495,32525,3,6,225,3285,107,176,69,0,0,0,0,0,0,1,0,1,1,20,30
35145,33112,2.5,5,208,3823,109,186,73,0,0,1,0,0,1,0,0,0,1,20,27
34845,32902,2.3,5,247,3766,107,180,71,0,0,0,0,0,0,0,0,1,1,20,28
34390,31845,3.5,6,287,3428,104,169,72,1,0,0,0,0,0,1,1,0,1,20,26
33895,31065,2.5,6,184,2932,98,161,70,1,0,0,0,0,0,1,1,0,1,20,28
33360,31562,2,4,210,3175,105,183,69,0,0,0,0,0,0,0,0,1,1,20,28
33260,29965,2.2,4,240,2835,95,162,69,1,0,0,0,0,0,1,1,0,1,20,25
33195,30299,3.2,6,270,3575,108,186,72,0,0,0,0,0,0,0,0,1,1,20,28
32495,29969,3,6,232,3681,115,194,73,0,0,0,0,0,0,1,0,1,1,20,26
32350,28755,3.3,6,225,3460,107,191,71,0,0,0,0,0,0,0,0,1,1,20,29
32280,30071,2.6,6,168,3360,107,178,68,0,0,0,0,0,0,1,0,1,1,20,25
32245,29566,3.8,6,205,3591,112,200,74,0,0,0,0,0,0,0,0,1,1,20,29
31840,28846,3,6,220,3462,104,179,70,0,0,0,0,0,0,0,0,1,1,20,28
31745,29916,2.5,5,208,3903,107,180,71,0,0,0,0,0,1,0,0,1,1,20,27
30860,29269,2,4,210,3175,105,183,69,0,0,0,0,0,0,0,0,1,1,20,28
30795,28245,2.5,6,184,3197,107,177,69,0,0,0,0,0,0,1,1,0,1,20,29
29440,26966,3.5,6,265,3476,111,194,72,0,0,0,0,0,0,0,0,1,1,20,28
28739,27300,3.5,6,245,3801,111,188,74,0,0,1,0,0,0,1,0,0,1,20,25
28495,26155,2.5,6,184,3219,107,176,69,0,0,0,0,0,0,1,0,1,1,20,29
27490,25182,3.5,6,265,3473,111,194,72,0,0,0,0,0,0,0,0,1,1,20,28
27145,24687,2.5,4,165,3495,104,184,69,0,0,0,0,0,1,0,0,1,1,20,27
26910,25203,3.5,6,287,3188,104,169,72,1,0,0,0,0,0,1,1,0,1,20,26
26510,23908,3.3,6,225,3439,107,193,72,0,0,0,0,0,0,0,1,0,1,20,29
26470,24282,3.8,6,205,3567,112,200,74,0,0,0,0,0,0,0,0,1,1,20,29
25045,23022,2,4,227,3085,99,174,69,1,0,0,0,0,1,0,0,1,1,20,27
25000,22931,3.8,6,200,3476,111,200,73,0,0,0,0,0,0,0,0,1,1,20,30
24895,22835,3.8,6,200,3461,109,196,73,0,0,0,0,0,0,0,0,1,1,20,30
24295,22284,3.8,6,200,3484,111,198,74,0,0,0,0,0,0,0,0,1,1,20,30
23675,21485,3.4,6,170,3085,107,187,70,0,0,0,0,0,0,0,1,0,1,20,29
22450,20595,3.4,6,175,3118,107,186,70,0,0,0,0,0,0,0,1,0,1,20,29
22395,20545,3.8,6,200,3477,111,198,74,0,0,0,0,0,0,0,0,1,1,20,30
22180,20351,3.1,6,175,3353,109,195,73,0,0,0,0,0,0,0,0,1,1,20,30
21965,19819,3.3,6,225,3417,107,193,72,0,0,0,0,0,0,0,1,0,1,20,29
21795,20508,2.4,4,150,3862,113,189,79,0,0,0,1,0,0,0,0,0,1,20,26
21595,19848,3,6,155,3308,109,200,73,0,0,0,0,0,0,0,0,1,1,20,27
21589,20201,2.7,6,173,3549,103,177,73,0,1,0,0,0,0,0,0,0,1,20,26
21410,19801,3,6,182,3197,107,190,69,0,0,0,0,0,0,0,0,1,1,20,28
20320,18881,3,6,155,3306,109,198,73,0,0,0,0,0,0,0,0,1,1,20,27
20130,18973,2.4,4,150,3826,104,174,72,0,1,0,0,0,1,0,0,0,1,20,24
18435,16850,2.7,6,170,3279,106,186,72,0,0,0,0,0,0,0,0,1,1,20,27
18345,16943,3.8,6,193,3290,101,183,73,1,0,0,0,0,0,1,1,0,1,20,29
17262,17053,2.5,6,155,3380,106,188,72,0,0,0,0,0,0,0,0,1,1,20,27
50670,47174,3.2,6,221,3966,112,190,71,0,0,1,0,0,0,1,0,0,1,19,27
48170,44849,3.2,6,221,3635,112,190,71,0,0,0,0,0,0,1,0,1,1,19,27
45210,42573,2.9,6,268,3653,110,190,72,0,0,0,0,0,0,0,0,1,1,19,26
44295,40530,3,6,225,3616,107,177,69,0,0,0,0,0,0,1,1,0,1,19,28
40845,38376,2.3,4,250,3620,106,190,71,0,0,1,0,0,0,0,0,0,1,19,29
39995,36620,2.5,6,184,3428,114,191,73,0,0,0,0,0,0,1,0,1,1,19,28
38830,36162,3.2,6,215,,107,178,68,0,0,0,0,0,1,0,0,1,1,19,27
37995,34800,2.5,6,184,3560,107,177,69,0,0,0,0,0,0,1,1,0,1,19,27
35920,33456,3.2,6,215,3430,107,178,68,0,0,0,0,0,0,1,0,1,1,19,26
33780,31466,2.6,6,168,3470,107,179,68,0,0,1,0,0,0,1,0,0,1,19,25
33480,31187,2.6,6,168,3360,107,178,68,0,0,0,0,0,1,0,0,1,1,19,25
33180,30583,2.8,6,190,3721,106,185,69,0,0,0,0,0,0,0,0,1,1,19,26
32845,30110,2.5,6,184,3594,107,176,69,0,0,1,0,0,1,0,0,0,1,19,26
31545,28603,3,6,212,3630,104,184,69,0,0,0,0,0,1,0,0,1,1,19,26
31145,28320,3.5,6,255,3306,108,194,70,0,0,0,0,0,0,0,0,1,1,19,26
30245,27745,2.5,6,184,3461,107,176,69,0,0,0,0,0,1,0,0,1,1,19,27
29345,26660,3,6,212,3610,104,184,69,0,0,0,0,0,1,0,0,1,1,19,26
28800,25690,3.3,6,230,4165,119,200,77,0,0,0,1,0,0,0,0,0,1,19,27
28790,26120,3.4,6,185,3948,120,201,72,0,0,0,1,0,0,0,0,0,1,19,26
28370,26435,3.2,6,215,3430,107,178,68,0,0,0,0,0,0,1,1,0,1,19,26
27490,25371,3.3,6,180,4068,119,201,79,0,0,0,1,0,0,0,0,0,1,19,26
27020,24518,3.4,6,185,3699,112,187,72,0,0,0,1,0,0,0,0,0,1,19,26
26860,24909,3.5,6,232,3548,113,208,74,0,0,0,0,0,0,0,0,1,1,19,27
26545,24085,3.4,6,185,4024,112,187,74,0,1,0,0,0,0,0,0,0,1,19,26
24780,22958,3.5,6,240,4012,124,204,78,0,0,0,1,0,0,0,0,0,1,19,26
23895,21918,3,6,201,3315,109,200,73,0,0,0,0,0,0,0,0,1,1,19,26
23845,21644,3.4,6,185,3803,112,187,72,0,0,0,1,0,0,0,0,0,1,19,26
23495,21198,3.3,6,230,4120,119,200,77,0,0,0,1,0,0,0,0,0,1,19,27
22735,20857,3,6,201,3313,109,198,73,0,0,0,0,0,0,0,0,1,1,19,26
22595,20748,3,6,155,3488,109,198,73,0,0,1,0,0,0,0,0,0,1,19,26
22290,20457,3,6,155,3497,109,198,73,0,0,1,0,0,0,0,0,0,1,19,26
21595,19810,3.4,6,185,3779,108,182,74,0,1,0,0,0,0,0,0,0,1,19,26
20339,18380,2.7,6,170,3217,106,187,72,0,0,0,0,0,0,0,0,1,1,19,27
20255,19108,2.5,6,165,2866,98,163,67,0,1,0,0,0,0,0,0,0,1,19,22
19339,17574,2.7,6,170,3217,106,187,72,0,0,0,0,0,0,0,0,1,1,19,27
18739,17101,2.7,6,172,3023,100,173,69,1,0,0,0,0,0,0,1,0,1,19,26
17163,16949,2.5,6,165,3020,98,163,67,0,1,0,0,0,1,0,0,0,1,19,22
16530,14877,2.8,4,175,3351,111,207,69,0,0,0,0,1,0,1,0,0,1,19,24
79165,69229,3.6,6,315,3135,93,175,70,1,0,0,0,0,0,1,1,0,1,18,26
76765,67128,3.6,6,315,3119,93,175,70,1,0,0,0,0,0,1,1,0,1,18,26
74995,68306,4.2,8,294,3980,102,187,71,1,0,0,0,0,0,1,1,0,1,18,26
74320,69168,4.3,8,275,4160,122,203,73,0,0,0,0,0,0,1,0,1,1,18,26
73195,66830,4.4,8,325,4464,123,204,75,0,0,0,0,0,0,1,0,1,1,18,26
69995,63756,4.2,8,294,3779,102,187,71,1,0,0,0,0,0,1,1,0,1,18,26
69195,63190,4.4,8,325,4376,118,198,75,0,0,0,0,0,0,1,0,1,1,18,26
68995,62846,4.2,8,294,3803,119,200,73,0,0,0,0,0,0,1,0,1,1,18,28
63200,55063,4.3,8,300,3840,103,178,72,1,0,0,0,0,0,1,1,0,1,18,23
59995,54656,4.2,8,294,3803,119,200,73,0,0,0,0,0,0,1,0,1,1,18,28
55750,48583,4.3,8,290,3990,115,197,72,0,0,0,0,0,0,1,0,1,1,18,25
54995,50270,4.4,8,325,3814,114,191,73,0,0,0,0,0,0,1,0,1,1,18,26
52365,45766,3.2,6,258,2911,95,170,70,1,0,0,0,0,0,1,1,0,1,18,26
51535,45193,5.7,8,350,3248,105,180,74,1,0,0,0,0,0,1,1,0,1,18,25
50595,46362,4.6,8,300,4044,115,207,74,0,0,0,0,0,0,0,0,1,1,18,26
49995,45556,4.2,8,294,3874,115,192,72,0,0,0,0,0,0,1,0,1,1,18,28
48450,42232,4.3,8,300,3715,110,189,71,0,0,0,0,0,0,1,0,1,1,18,23
47955,43841,4.6,8,275,3992,112,201,75,0,0,0,0,0,0,0,0,1,1,18,26
46100,41100,3.5,6,225,3893,115,197,72,0,0,0,0,0,0,0,0,1,1,18,24
45445,41650,4.6,8,275,3984,115,207,74,0,0,0,0,0,0,0,0,1,1,18,26
44535,39068,5.7,8,350,3246,105,180,74,1,0,0,0,0,0,1,1,0,1,18,25
44240,40075,3,6,220,4013,105,180,70,0,0,0,0,0,1,0,1,0,1,18,25
43895,40004,3,6,235,3777,115,192,72,0,0,0,0,0,0,1,0,1,1,18,26
43755,39014,3.5,6,225,3880,115,197,72,0,0,0,0,0,0,0,0,1,1,18,24
42840,38840,2.7,6,250,3836,109,192,71,0,0,0,0,0,1,0,0,1,1,18,25
41010,36196,3,6,220,3649,110,189,71,0,0,0,0,0,0,1,0,1,1,18,25
40840,37060,3,6,220,4035,109,192,71,0,0,1,0,0,1,0,0,0,1,18,25
40720,36927,3.8,6,240,3909,114,207,75,0,0,0,0,0,0,0,0,1,1,18,28
40235,36956,4,8,270,4067,106,184,69,0,0,1,0,0,0,0,0,0,1,18,25
39640,35992,3,6,220,3880,109,192,71,0,0,0,0,0,1,0,0,1,1,18,25
39235,36052,4,8,270,3953,106,185,69,0,0,0,0,0,0,0,0,1,1,18,25
39195,34576,3.3,6,230,4065,107,186,73,0,1,0,0,0,1,0,0,0,1,18,24
38380,35063,3.8,6,215,4331,119,201,79,0,0,0,1,0,0,0,0,0,1,18,25
37560,35382,2.5,5,300,3571,107,181,71,0,0,0,0,0,1,0,0,1,1,18,25
34480,31388,3,6,220,3627,104,179,70,0,0,0,0,0,1,0,0,1,1,18,25
33995,30995,3,6,227,3516,107,184,70,0,0,0,0,0,1,0,0,1,1,18,25
33295,30884,3.5,6,255,3650,113,198,74,0,0,0,0,0,0,0,0,1,1,18,27
32780,30019,3.5,6,240,4175,124,204,78,0,0,0,1,0,0,0,0,0,1,18,25
32660,29812,3.8,6,215,4440,119,201,79,0,0,0,1,0,1,0,0,0,1,18,25
32455,28647,3,6,215,3410,105,177,68,0,0,1,0,0,0,1,0,0,1,18,24
32445,29783,3.5,6,260,3677,112,187,69,0,0,0,0,0,1,0,0,1,1,18,26
32415,28611,3,6,215,3285,105,177,68,0,0,0,0,0,0,1,0,1,1,18,24
31545,29130,2.5,4,300,3263,100,174,69,1,0,0,0,0,1,0,0,1,1,18,24
31370,28454,3.4,6,185,4431,121,201,72,0,0,0,1,0,1,0,0,0,1,18,24
31045,27404,3,6,215,3255,105,177,68,0,0,0,0,0,0,1,0,1,1,18,25
30835,28575,3.6,6,255,3694,113,190,71,0,0,0,0,0,0,1,0,1,1,18,25
29995,27355,2.5,6,192,3428,107,184,70,0,0,0,0,0,1,0,0,1,1,18,26
29865,27797,3.5,6,250,3581,113,198,74,0,0,0,0,0,0,0,0,1,1,18,27
29795,27536,3.5,6,280,3416,112,182,72,0,0,0,0,0,0,1,1,0,1,18,26
29562,27466,2,4,271,3263,103,179,70,1,0,0,0,0,0,0,0,1,1,18,26
29282,27250,3.5,6,205,3549,107,194,70,0,0,0,0,0,0,0,0,1,1,18,25
28750,26600,3,6,200,3812,112,188,72,0,0,0,1,0,0,0,0,0,1,18,25
28495,26157,3.5,6,260,3336,112,187,69,0,0,0,0,0,0,1,0,1,1,18,26
28345,26047,3.8,6,240,3536,109,196,73,0,0,0,0,0,0,0,0,1,1,18,28
27995,25672,3.8,6,240,3606,111,200,73,0,0,0,0,0,0,0,0,1,1,18,28
27930,24915,3.3,6,230,3935,107,185,72,0,1,0,0,0,1,0,0,0,1,18,24
27710,24801,4,6,245,4035,110,189,74,0,1,0,0,0,0,0,0,0,1,18,21
27450,24744,3.5,6,240,4365,118,201,76,0,0,0,1,0,0,0,0,0,1,18,25
27200,25179,1.3,,238,3029,106,174,,1,0,0,0,0,0,1,0,1,1,18,24
25995,23969,2.5,6,174,3577,101,175,71,0,1,0,0,0,1,0,0,0,1,18,21
25700,23883,3.8,6,230,3649,108,191,72,0,0,0,0,0,0,0,0,1,1,18,26
25700,23794,1.3,,197,3053,106,174,,1,0,0,0,0,0,1,0,1,1,18,25
24950,22498,3.5,6,240,4310,118,201,76,0,0,0,1,0,0,0,0,0,1,18,25
24885,23058,3.5,6,232,3487,113,204,75,0,0,0,0,0,0,0,0,1,1,18,27
